,Disease,symptoms_1,symptoms_2,symptoms_3,symptoms_4
1207,Disease, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
1208,Disease, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
1209,Disease, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
1210,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1211,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1212,Disease, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails
1213,Disease, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails
1214,Disease, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails
1215,Disease, skin_rash, joint_pain, skin_peeling, small_dents_in_nails
1216,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1217,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1218,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1219,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1220,Disease, skin_rash, high_fever, blister, red_sore_around_nose
1221,Disease, skin_rash, high_fever, blister, red_sore_around_nose
1222,Disease, high_fever, blister, red_sore_around_nose, yellow_crust_ooze
1223,Disease, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
1224,Disease, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
1225,Disease, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze
1226,Disease, skin_rash, high_fever, blister, yellow_crust_ooze
1227,Disease, skin_rash, high_fever, blister, red_sore_around_nose
1228,Disease, skin_rash, high_fever, blister, red_sore_around_nose
1229,Disease, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
1230,Disease,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
1231,Disease, skin_rash, nodal_skin_eruptions, dischromic _patches,
1232,Disease,itching, nodal_skin_eruptions, dischromic _patches,
1233,Disease,itching, skin_rash, dischromic _patches,
1234,Disease,itching, skin_rash, nodal_skin_eruptions,
1235,Disease, skin_rash, nodal_skin_eruptions, dischromic _patches,
1236,Disease,itching, nodal_skin_eruptions, dischromic _patches,
1237,Disease,itching, skin_rash, dischromic _patches,
1238,Disease,itching, skin_rash, nodal_skin_eruptions,
1239,Disease,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
1240,Disease, continuous_sneezing, shivering, chills, watering_from_eyes
1241,Disease, shivering, chills, watering_from_eyes,
1242,Disease, continuous_sneezing, chills, watering_from_eyes,
1243,Disease, continuous_sneezing, shivering, watering_from_eyes,
1244,Disease, continuous_sneezing, shivering, chills,
1245,Disease, shivering, chills, watering_from_eyes,
1246,Disease, continuous_sneezing, chills, watering_from_eyes,
1247,Disease, continuous_sneezing, shivering, watering_from_eyes,
1248,Disease, continuous_sneezing, shivering, chills,
1249,Disease, continuous_sneezing, shivering, chills, watering_from_eyes
1250,Disease, stomach_pain, acidity, ulcers_on_tongue, vomiting
1251,Disease, stomach_pain, ulcers_on_tongue, vomiting, cough
1252,Disease, stomach_pain, acidity, vomiting, cough
1253,Disease, stomach_pain, acidity, ulcers_on_tongue, cough
1254,Disease, stomach_pain, acidity, ulcers_on_tongue, vomiting
1255,Disease, stomach_pain, acidity, ulcers_on_tongue, vomiting
1256,Disease, acidity, ulcers_on_tongue, vomiting, cough
1257,Disease, stomach_pain, ulcers_on_tongue, vomiting, cough
1258,Disease, stomach_pain, acidity, vomiting, cough
1259,Disease, stomach_pain, acidity, ulcers_on_tongue, cough
1260,Disease,itching, vomiting, yellowish_skin, nausea
1261,Disease, vomiting, yellowish_skin, nausea, loss_of_appetite
1262,Disease,itching, yellowish_skin, nausea, loss_of_appetite
1263,Disease,itching, vomiting, nausea, loss_of_appetite
1264,Disease,itching, vomiting, yellowish_skin, loss_of_appetite
1265,Disease,itching, vomiting, yellowish_skin, nausea
1266,Disease,itching, vomiting, yellowish_skin, nausea
1267,Disease,itching, vomiting, yellowish_skin, nausea
1268,Disease,itching, vomiting, yellowish_skin, nausea
1269,Disease,itching, vomiting, yellowish_skin, nausea
1270,Disease,itching, skin_rash, stomach_pain, burning_micturition
1271,Disease,itching, stomach_pain, burning_micturition, spotting_ urination
1272,Disease,itching, skin_rash, burning_micturition, spotting_ urination
1273,Disease,itching, skin_rash, stomach_pain, spotting_ urination
1274,Disease,itching, skin_rash, stomach_pain, burning_micturition
1275,Disease, skin_rash, stomach_pain, burning_micturition, spotting_ urination
1276,Disease,itching, stomach_pain, burning_micturition, spotting_ urination
1277,Disease,itching, skin_rash, burning_micturition, spotting_ urination
1278,Disease,itching, skin_rash, stomach_pain, spotting_ urination
1279,Disease,itching, skin_rash, stomach_pain, burning_micturition
1280,Disease, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
1281,Disease, vomiting, indigestion, abdominal_pain, passage_of_gases
1282,Disease, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
1283,Disease, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
1284,Disease, vomiting, indigestion, abdominal_pain, passage_of_gases
1285,Disease, vomiting, indigestion, loss_of_appetite, passage_of_gases
1286,Disease, vomiting, indigestion, loss_of_appetite, abdominal_pain
1287,Disease, vomiting, indigestion, loss_of_appetite, abdominal_pain
1288,Disease, vomiting, indigestion, loss_of_appetite, abdominal_pain
1289,Disease, vomiting, indigestion, loss_of_appetite, abdominal_pain
1290,Disease, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
1291,Disease, patches_in_throat, high_fever, extra_marital_contacts,
1292,Disease, muscle_wasting, high_fever, extra_marital_contacts,
1293,Disease, muscle_wasting, patches_in_throat, extra_marital_contacts,
1294,Disease, muscle_wasting, patches_in_throat, high_fever,
1295,Disease, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
1296,Disease, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
1297,Disease, patches_in_throat, high_fever, extra_marital_contacts,
1298,Disease, muscle_wasting, high_fever, extra_marital_contacts,
1299,Disease, muscle_wasting, patches_in_throat, high_fever,
1300,Disease, fatigue, weight_loss, restlessness, lethargy
1301,Disease, fatigue, weight_loss, restlessness, lethargy
1302,Disease, weight_loss, restlessness, lethargy, irregular_sugar_level
1303,Disease, fatigue, restlessness, lethargy, irregular_sugar_level
1304,Disease, fatigue, weight_loss, lethargy, irregular_sugar_level
1305,Disease, fatigue, weight_loss, restlessness, irregular_sugar_level
1306,Disease, fatigue, weight_loss, restlessness, lethargy
1307,Disease, fatigue, weight_loss, restlessness, lethargy
1308,Disease, fatigue, weight_loss, restlessness, lethargy
1309,Disease, fatigue, weight_loss, restlessness, lethargy
1310,Disease, vomiting, sunken_eyes, dehydration, diarrhoea
1311,Disease, vomiting, sunken_eyes, dehydration, diarrhoea
1312,Disease, sunken_eyes, dehydration, diarrhoea,
1313,Disease, vomiting, dehydration, diarrhoea,
1314,Disease, vomiting, sunken_eyes, diarrhoea,
1315,Disease, vomiting, sunken_eyes, dehydration,
1316,Disease, vomiting, sunken_eyes, dehydration, diarrhoea
1317,Disease, sunken_eyes, dehydration, diarrhoea,
1318,Disease, vomiting, dehydration, diarrhoea,
1319,Disease, vomiting, sunken_eyes, diarrhoea,
1320,Disease, fatigue, cough, high_fever, breathlessness
1321,Disease, cough, high_fever, breathlessness, family_history
1322,Disease, fatigue, high_fever, breathlessness, family_history
1323,Disease, fatigue, cough, breathlessness, family_history
1324,Disease, fatigue, cough, high_fever, family_history
1325,Disease, fatigue, cough, high_fever, breathlessness
1326,Disease, fatigue, cough, high_fever, breathlessness
1327,Disease, fatigue, cough, high_fever, breathlessness
1328,Disease, cough, high_fever, breathlessness, family_history
1329,Disease, fatigue, high_fever, breathlessness, family_history
1330,Disease, headache, chest_pain, dizziness, loss_of_balance
1331,Disease, chest_pain, dizziness, loss_of_balance, lack_of_concentration
1332,Disease, headache, dizziness, loss_of_balance, lack_of_concentration
1333,Disease, headache, chest_pain, loss_of_balance, lack_of_concentration
1334,Disease, headache, chest_pain, dizziness, lack_of_concentration
1335,Disease, headache, chest_pain, dizziness, loss_of_balance
1336,Disease, headache, chest_pain, dizziness, loss_of_balance
1337,Disease, chest_pain, dizziness, loss_of_balance, lack_of_concentration
1338,Disease, headache, dizziness, loss_of_balance, lack_of_concentration
1339,Disease, headache, chest_pain, loss_of_balance, lack_of_concentration
1340,Disease, acidity, indigestion, headache, blurred_and_distorted_vision
1341,Disease, indigestion, headache, blurred_and_distorted_vision, excessive_hunger
1342,Disease, acidity, headache, blurred_and_distorted_vision, excessive_hunger
1343,Disease, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger
1344,Disease, acidity, indigestion, headache, excessive_hunger
1345,Disease, acidity, indigestion, headache, blurred_and_distorted_vision
1346,Disease, acidity, indigestion, headache, blurred_and_distorted_vision
1347,Disease, acidity, indigestion, headache, blurred_and_distorted_vision
1348,Disease, acidity, indigestion, headache, blurred_and_distorted_vision
1349,Disease, acidity, indigestion, headache, blurred_and_distorted_vision
1350,Disease, back_pain, weakness_in_limbs, neck_pain, dizziness
1351,Disease, back_pain, weakness_in_limbs, neck_pain, dizziness
1352,Disease, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
1353,Disease, back_pain, neck_pain, dizziness, loss_of_balance
1354,Disease, back_pain, weakness_in_limbs, dizziness, loss_of_balance
1355,Disease, back_pain, weakness_in_limbs, neck_pain, loss_of_balance
1356,Disease, back_pain, weakness_in_limbs, neck_pain, dizziness
1357,Disease, back_pain, weakness_in_limbs, neck_pain, dizziness
1358,Disease, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
1359,Disease, back_pain, neck_pain, dizziness, loss_of_balance
1360,Disease, vomiting, headache, weakness_of_one_body_side, altered_sensorium
1361,Disease, vomiting, headache, weakness_of_one_body_side, altered_sensorium
1362,Disease, headache, weakness_of_one_body_side, altered_sensorium,
1363,Disease, vomiting, weakness_of_one_body_side, altered_sensorium,
1364,Disease, vomiting, headache, altered_sensorium,
1365,Disease, vomiting, headache, weakness_of_one_body_side,
1366,Disease, vomiting, headache, weakness_of_one_body_side, altered_sensorium
1367,Disease, headache, weakness_of_one_body_side, altered_sensorium,
1368,Disease, vomiting, weakness_of_one_body_side, altered_sensorium,
1369,Disease, vomiting, headache, altered_sensorium,
1370,Disease,itching, vomiting, fatigue, weight_loss
1371,Disease,itching, vomiting, fatigue, weight_loss
1372,Disease, vomiting, fatigue, weight_loss, high_fever
1373,Disease,itching, fatigue, weight_loss, high_fever
1374,Disease,itching, vomiting, weight_loss, high_fever
1375,Disease,itching, vomiting, fatigue, high_fever
1376,Disease,itching, vomiting, fatigue, weight_loss
1377,Disease,itching, vomiting, fatigue, weight_loss
1378,Disease,itching, vomiting, fatigue, weight_loss
1379,Disease,itching, vomiting, fatigue, weight_loss
1380,Disease, chills, vomiting, high_fever, sweating
1381,Disease, chills, vomiting, high_fever, sweating
1382,Disease, chills, vomiting, high_fever, sweating
1383,Disease, vomiting, high_fever, sweating, headache
1384,Disease, chills, high_fever, sweating, headache
1385,Disease, chills, vomiting, sweating, headache
1386,Disease, chills, vomiting, high_fever, headache
1387,Disease, chills, vomiting, high_fever, sweating
1388,Disease, chills, vomiting, high_fever, sweating
1389,Disease, chills, vomiting, high_fever, sweating
1390,Disease,itching, skin_rash, fatigue, lethargy
1391,Disease, skin_rash, fatigue, lethargy, high_fever
1392,Disease,itching, fatigue, lethargy, high_fever
1393,Disease,itching, skin_rash, lethargy, high_fever
1394,Disease,itching, skin_rash, fatigue, high_fever
1395,Disease,itching, skin_rash, fatigue, lethargy
1396,Disease,itching, skin_rash, fatigue, lethargy
1397,Disease,itching, skin_rash, fatigue, lethargy
1398,Disease,itching, skin_rash, fatigue, lethargy
1399,Disease,itching, skin_rash, fatigue, lethargy
1400,Disease, skin_rash, chills, joint_pain, vomiting
1401,Disease, skin_rash, chills, joint_pain, vomiting
1402,Disease, skin_rash, chills, joint_pain, vomiting
1403,Disease, skin_rash, chills, joint_pain, vomiting
1404,Disease, chills, joint_pain, vomiting, fatigue
1405,Disease, skin_rash, joint_pain, vomiting, fatigue
1406,Disease, skin_rash, chills, vomiting, fatigue
1407,Disease, skin_rash, chills, joint_pain, fatigue
1408,Disease, skin_rash, chills, joint_pain, vomiting
1409,Disease, skin_rash, chills, joint_pain, vomiting
1410,Disease, chills, vomiting, fatigue, high_fever
1411,Disease, chills, vomiting, fatigue, high_fever
1412,Disease, chills, vomiting, fatigue, high_fever
1413,Disease, chills, vomiting, fatigue, high_fever
1414,Disease, chills, vomiting, fatigue, high_fever
1415,Disease, chills, vomiting, fatigue, high_fever
1416,Disease, chills, vomiting, fatigue, high_fever
1417,Disease, chills, vomiting, fatigue, high_fever
1418,Disease, chills, vomiting, fatigue, high_fever
1419,Disease, chills, fatigue, high_fever, headache
1420,Disease, joint_pain, vomiting, yellowish_skin, dark_urine
1421,Disease, joint_pain, vomiting, yellowish_skin, dark_urine
1422,Disease, vomiting, yellowish_skin, dark_urine, nausea
1423,Disease, joint_pain, yellowish_skin, dark_urine, nausea
1424,Disease, joint_pain, vomiting, dark_urine, nausea
1425,Disease, joint_pain, vomiting, yellowish_skin, nausea
1426,Disease, joint_pain, vomiting, yellowish_skin, dark_urine
1427,Disease, joint_pain, vomiting, yellowish_skin, dark_urine
1428,Disease, joint_pain, vomiting, yellowish_skin, dark_urine
1429,Disease, joint_pain, vomiting, yellowish_skin, dark_urine
1430,Disease,itching, fatigue, lethargy, yellowish_skin
1431,Disease,itching, fatigue, lethargy, yellowish_skin
1432,Disease, fatigue, lethargy, yellowish_skin, dark_urine
1433,Disease,itching, lethargy, yellowish_skin, dark_urine
1434,Disease,itching, fatigue, yellowish_skin, dark_urine
1435,Disease,itching, fatigue, lethargy, dark_urine
1436,Disease,itching, fatigue, lethargy, yellowish_skin
1437,Disease,itching, fatigue, lethargy, yellowish_skin
1438,Disease,itching, fatigue, lethargy, yellowish_skin
1439,Disease,itching, fatigue, lethargy, yellowish_skin
1440,Disease, fatigue, yellowish_skin, nausea, loss_of_appetite
1441,Disease, fatigue, yellowish_skin, nausea, loss_of_appetite
1442,Disease, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes
1443,Disease, fatigue, nausea, loss_of_appetite, yellowing_of_eyes
1444,Disease, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes
1445,Disease, fatigue, yellowish_skin, nausea, yellowing_of_eyes
1446,Disease, fatigue, yellowish_skin, nausea, loss_of_appetite
1447,Disease, fatigue, yellowish_skin, nausea, loss_of_appetite
1448,Disease, fatigue, yellowish_skin, nausea, loss_of_appetite
1449,Disease, fatigue, yellowish_skin, nausea, loss_of_appetite
1450,Disease, joint_pain, vomiting, fatigue, yellowish_skin
1451,Disease, vomiting, fatigue, yellowish_skin, dark_urine
1452,Disease, joint_pain, fatigue, yellowish_skin, dark_urine
1453,Disease, joint_pain, vomiting, yellowish_skin, dark_urine
1454,Disease, joint_pain, vomiting, fatigue, dark_urine
1455,Disease, joint_pain, vomiting, fatigue, yellowish_skin
1456,Disease, joint_pain, vomiting, fatigue, yellowish_skin
1457,Disease, joint_pain, vomiting, fatigue, yellowish_skin
1458,Disease, joint_pain, vomiting, fatigue, yellowish_skin
1459,Disease, joint_pain, vomiting, fatigue, yellowish_skin
1460,Disease, joint_pain, vomiting, fatigue, high_fever
1461,Disease, joint_pain, vomiting, fatigue, high_fever
1462,Disease, joint_pain, vomiting, fatigue, high_fever
1463,Disease, vomiting, fatigue, high_fever, yellowish_skin
1464,Disease, joint_pain, fatigue, high_fever, yellowish_skin
1465,Disease, joint_pain, vomiting, high_fever, yellowish_skin
1466,Disease, joint_pain, vomiting, fatigue, yellowish_skin
1467,Disease, joint_pain, vomiting, fatigue, high_fever
1468,Disease, joint_pain, vomiting, fatigue, high_fever
1469,Disease, joint_pain, vomiting, fatigue, high_fever
1470,Disease, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1471,Disease, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1472,Disease, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen
1473,Disease, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen
1474,Disease, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen
1475,Disease, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen
1476,Disease, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1477,Disease, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1478,Disease, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1479,Disease, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1480,Disease, chills, vomiting, fatigue, weight_loss
1481,Disease, chills, vomiting, fatigue, weight_loss
1482,Disease, vomiting, fatigue, weight_loss, cough
1483,Disease, chills, fatigue, weight_loss, cough
1484,Disease, chills, vomiting, weight_loss, cough
1485,Disease, chills, vomiting, fatigue, cough
1486,Disease, chills, vomiting, fatigue, weight_loss
1487,Disease, chills, vomiting, fatigue, weight_loss
1488,Disease, chills, vomiting, fatigue, weight_loss
1489,Disease, chills, vomiting, fatigue, weight_loss
1490,Disease, continuous_sneezing, chills, fatigue, cough
1491,Disease, continuous_sneezing, chills, fatigue, cough
1492,Disease, chills, fatigue, cough, high_fever
1493,Disease, continuous_sneezing, fatigue, cough, high_fever
1494,Disease, continuous_sneezing, chills, cough, high_fever
1495,Disease, continuous_sneezing, chills, fatigue, high_fever
1496,Disease, continuous_sneezing, chills, fatigue, cough
1497,Disease, continuous_sneezing, chills, fatigue, cough
1498,Disease, continuous_sneezing, chills, fatigue, cough
1499,Disease, continuous_sneezing, chills, fatigue, cough
1500,Disease, chills, fatigue, cough, high_fever
1501,Disease, chills, fatigue, cough, high_fever
1502,Disease, chills, fatigue, cough, high_fever
1503,Disease, fatigue, cough, high_fever, breathlessness
1504,Disease, chills, cough, high_fever, breathlessness
1505,Disease, chills, fatigue, high_fever, breathlessness
1506,Disease, chills, fatigue, cough, breathlessness
1507,Disease, chills, fatigue, cough, high_fever
1508,Disease, chills, fatigue, cough, high_fever
1509,Disease, chills, fatigue, cough, high_fever
1510,Disease, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1511,Disease, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1512,Disease, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1513,Disease, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus
1514,Disease, constipation, pain_in_anal_region, bloody_stool, irritation_in_anus
1515,Disease, constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus
1516,Disease, constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus
1517,Disease, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1518,Disease, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1519,Disease, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1520,Disease, vomiting, breathlessness, sweating, chest_pain
1521,Disease, vomiting, breathlessness, sweating, chest_pain
1522,Disease, breathlessness, sweating, chest_pain,
1523,Disease, vomiting, sweating, chest_pain,
1524,Disease, vomiting, breathlessness, chest_pain,
1525,Disease, vomiting, breathlessness, sweating,
1526,Disease, vomiting, breathlessness, sweating, chest_pain
1527,Disease, breathlessness, sweating, chest_pain,
1528,Disease, vomiting, sweating, chest_pain,
1529,Disease, vomiting, breathlessness, chest_pain,
1530,Disease, fatigue, cramps, bruising, obesity
1531,Disease, fatigue, cramps, bruising, obesity
1532,Disease, cramps, bruising, obesity, swollen_legs
1533,Disease, fatigue, bruising, obesity, swollen_legs
1534,Disease, fatigue, cramps, obesity, swollen_legs
1535,Disease, fatigue, cramps, bruising, swollen_legs
1536,Disease, fatigue, cramps, bruising, obesity
1537,Disease, fatigue, cramps, bruising, obesity
1538,Disease, fatigue, cramps, bruising, obesity
1539,Disease, fatigue, cramps, bruising, obesity
1540,Disease, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1541,Disease, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1542,Disease, weight_gain, cold_hands_and_feets, mood_swings, lethargy
1543,Disease, weight_gain, cold_hands_and_feets, mood_swings, lethargy
1544,Disease, fatigue, cold_hands_and_feets, mood_swings, lethargy
1545,Disease, fatigue, weight_gain, mood_swings, lethargy
1546,Disease, fatigue, weight_gain, cold_hands_and_feets, lethargy
1547,Disease, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1548,Disease, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1549,Disease, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1550,Disease, fatigue, mood_swings, weight_loss, restlessness
1551,Disease, fatigue, mood_swings, weight_loss, restlessness
1552,Disease, mood_swings, weight_loss, restlessness, sweating
1553,Disease, fatigue, weight_loss, restlessness, sweating
1554,Disease, fatigue, mood_swings, restlessness, sweating
1555,Disease, fatigue, mood_swings, weight_loss, sweating
1556,Disease, fatigue, mood_swings, weight_loss, restlessness
1557,Disease, fatigue, mood_swings, weight_loss, restlessness
1558,Disease, fatigue, mood_swings, weight_loss, restlessness
1559,Disease, fatigue, mood_swings, weight_loss, restlessness
1560,Disease, vomiting, fatigue, anxiety, sweating
1561,Disease, vomiting, fatigue, anxiety, sweating
1562,Disease, vomiting, fatigue, anxiety, sweating
1563,Disease, fatigue, anxiety, sweating, headache
1564,Disease, vomiting, anxiety, sweating, headache
1565,Disease, vomiting, fatigue, sweating, headache
1566,Disease, vomiting, fatigue, anxiety, headache
1567,Disease, vomiting, fatigue, anxiety, sweating
1568,Disease, vomiting, fatigue, anxiety, sweating
1569,Disease, vomiting, fatigue, anxiety, sweating
1570,Disease, joint_pain, neck_pain, knee_pain, hip_joint_pain
1571,Disease, joint_pain, neck_pain, knee_pain, hip_joint_pain
1572,Disease, neck_pain, knee_pain, hip_joint_pain, swelling_joints
1573,Disease, joint_pain, knee_pain, hip_joint_pain, swelling_joints
1574,Disease, joint_pain, neck_pain, hip_joint_pain, swelling_joints
1575,Disease, joint_pain, neck_pain, knee_pain, swelling_joints
1576,Disease, joint_pain, neck_pain, knee_pain, hip_joint_pain
1577,Disease, joint_pain, neck_pain, knee_pain, hip_joint_pain
1578,Disease, joint_pain, neck_pain, knee_pain, hip_joint_pain
1579,Disease, joint_pain, neck_pain, knee_pain, hip_joint_pain
1580,Disease, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1581,Disease, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1582,Disease, stiff_neck, swelling_joints, movement_stiffness, painful_walking
1583,Disease, muscle_weakness, swelling_joints, movement_stiffness, painful_walking
1584,Disease, muscle_weakness, stiff_neck, movement_stiffness, painful_walking
1585,Disease, muscle_weakness, stiff_neck, swelling_joints, painful_walking
1586,Disease, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1587,Disease, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1588,Disease, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1589,Disease, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1590,Disease, vomiting, headache, nausea, spinning_movements
1591,Disease, vomiting, headache, nausea, spinning_movements
1592,Disease, headache, nausea, spinning_movements, loss_of_balance
1593,Disease, vomiting, nausea, spinning_movements, loss_of_balance
1594,Disease, vomiting, headache, spinning_movements, loss_of_balance
1595,Disease, vomiting, headache, nausea, loss_of_balance
1596,Disease, vomiting, headache, nausea, spinning_movements
1597,Disease, vomiting, headache, nausea, spinning_movements
1598,Disease, vomiting, headache, nausea, spinning_movements
1599,Disease, vomiting, headache, nausea, loss_of_balance
1600,Disease, skin_rash, pus_filled_pimples, blackheads, scurring
1601,Disease, skin_rash, pus_filled_pimples, blackheads, scurring
1602,Disease, pus_filled_pimples, blackheads, scurring,
1603,Disease, skin_rash, blackheads, scurring,
1604,Disease, skin_rash, pus_filled_pimples, scurring,
1605,Disease, skin_rash, pus_filled_pimples, blackheads,
1606,Disease, skin_rash, pus_filled_pimples, blackheads, scurring
1607,Disease, skin_rash, pus_filled_pimples, blackheads,
1608,Disease, skin_rash, pus_filled_pimples, scurring,
1609,Disease, skin_rash, blackheads, scurring,
1610,Disease, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
1611,Disease, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
1612,Disease, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
1613,Disease, burning_micturition, foul_smell_of urine, continuous_feel_of_urine,
1614,Disease, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
1615,Disease, burning_micturition, bladder_discomfort, foul_smell_of urine,
1616,Disease, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
1617,Disease, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
1618,Disease, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
1619,Disease, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
1620,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1621,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1622,Disease, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails
1623,Disease, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails
1624,Disease, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails
1625,Disease, skin_rash, joint_pain, skin_peeling, small_dents_in_nails
1626,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1627,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1628,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1629,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1630,Disease, skin_rash, high_fever, blister, red_sore_around_nose
1631,Disease, skin_rash, high_fever, blister, red_sore_around_nose
1632,Disease, high_fever, blister, red_sore_around_nose, yellow_crust_ooze
1633,Disease, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
1634,Disease, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
1635,Disease, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze
1636,Disease, skin_rash, high_fever, blister, yellow_crust_ooze
1637,Disease, skin_rash, high_fever, blister, red_sore_around_nose
1638,Disease, skin_rash, high_fever, blister, red_sore_around_nose
1639,Disease, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
1640,Disease,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
1641,Disease, skin_rash, nodal_skin_eruptions, dischromic _patches,
1642,Disease,itching, nodal_skin_eruptions, dischromic _patches,
1643,Disease,itching, skin_rash, dischromic _patches,
1644,Disease,itching, skin_rash, nodal_skin_eruptions,
1645,Disease, skin_rash, nodal_skin_eruptions, dischromic _patches,
1646,Disease,itching, nodal_skin_eruptions, dischromic _patches,
1647,Disease,itching, skin_rash, dischromic _patches,
1648,Disease,itching, skin_rash, nodal_skin_eruptions,
1649,Disease,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
1650,Disease, continuous_sneezing, shivering, chills, watering_from_eyes
1651,Disease, shivering, chills, watering_from_eyes,
1652,Disease, continuous_sneezing, chills, watering_from_eyes,
1653,Disease, continuous_sneezing, shivering, watering_from_eyes,
1654,Disease, continuous_sneezing, shivering, chills,
1655,Disease, shivering, chills, watering_from_eyes,
1656,Disease, continuous_sneezing, chills, watering_from_eyes,
1657,Disease, continuous_sneezing, shivering, watering_from_eyes,
1658,Disease, continuous_sneezing, shivering, chills,
1659,Disease, continuous_sneezing, shivering, chills, watering_from_eyes
1660,Disease, stomach_pain, acidity, ulcers_on_tongue, vomiting
1661,Disease, stomach_pain, ulcers_on_tongue, vomiting, cough
1662,Disease, stomach_pain, acidity, vomiting, cough
1663,Disease, stomach_pain, acidity, ulcers_on_tongue, cough
